id,tested_positive
766,13.587773
767,12.57719
768,14.41713
769,5.9760942
770,21.594841
771,12.725487
772,15.093363
773,17.78252
774,10.25387
775,11.214922
776,9.091896
777,20.225086
778,9.296851
779,13.854547
780,19.33475
781,9.083622
782,23.597507
783,12.526084
784,15.0157795
785,16.088861
786,13.768149
787,10.357524
788,9.54979
789,7.795514
790,10.018485
791,9.022307
792,12.751631
793,7.958129
794,10.345184
795,6.6399527
796,12.495606
797,12.341035
798,15.993818
799,10.991145
800,11.558711
801,13.330756
802,10.9029875
803,8.797791
804,12.319877
805,5.9789066
806,22.23672
807,15.366734
808,13.978076
809,20.156235
810,19.871368
811,15.143206
812,21.588486
813,13.606893
814,10.936905
815,19.870926
816,17.049349
817,17.133923
818,18.338581
819,8.761854
820,17.70168
821,5.960021
822,14.842019
823,23.613054
824,16.703293
825,8.008356
826,7.5177183
827,9.280143
828,8.969222
829,19.519257
830,7.2955503
831,12.264135
832,26.299417
833,10.232397
834,21.2955
835,32.123867
836,10.29964
837,22.865398
838,22.607195
839,11.832579
840,26.959093
841,20.27347
842,13.734069
843,11.030942
844,28.804934
845,14.395482
846,11.667763
847,18.784422
848,7.034048
849,9.231089
850,19.481363
851,13.418815
852,22.011927
853,13.228936
854,10.6475725
855,7.7341557
856,16.376587
857,9.450797
858,10.265872
859,21.289309
860,24.408548
861,27.332659
862,19.797035
863,24.703592
864,23.385138
865,22.933838
866,17.02662
867,24.562395
868,27.44544
869,22.208805
870,9.293592
871,24.993343
872,31.289406
873,30.749842
874,8.007922
875,29.572426
876,13.221883
877,27.183517
878,10.501826
879,19.65042
880,22.064455
881,23.902433
882,10.452748
883,13.935704
884,31.664331
885,16.464563
886,18.088507
887,24.056965
888,10.190642
889,12.737004
890,10.379682
891,20.914583
892,17.096512
893,13.541209
894,38.545147
895,9.283855
896,19.64324
897,28.447088
898,21.997301
899,35.12724
900,22.91902
901,7.1583223
902,25.43642
903,19.881153
904,22.870596
905,8.358227
906,33.62686
907,23.25005
908,9.956135
909,9.992973
910,33.262394
911,32.62492
912,32.778297
913,9.0038395
914,21.947453
915,39.445942
916,14.691096
917,13.02489
918,24.716606
919,20.092684
920,16.186964
921,18.140497
922,18.174921
923,42.149788
924,19.213932
925,9.3523855
926,25.727135
927,24.516035
928,29.281773
929,15.071589
930,17.829205
931,43.426796
932,13.466334
933,30.244858
934,27.101097
935,14.123901
936,11.189979
937,26.722319
938,20.10177
939,26.201792
940,23.223635
941,32.84833
942,21.234175
943,34.538746
944,15.817562
945,26.579853
946,25.057281
947,37.790585
948,24.126404
949,9.164887
950,31.158726
951,41.83326
952,20.76302
953,12.907565
954,22.695024
955,27.709394
956,30.537066
957,14.160172
958,17.498472
959,22.979317
960,8.294728
961,30.966984
962,28.788374
963,26.560602
964,30.581223
965,21.961256
966,10.836386
967,30.644648
968,32.377132
969,25.664091
970,26.140478
971,23.300613
972,23.41781
973,17.588291
974,21.925848
975,31.028503
976,9.320243
977,35.21924
978,18.712578
979,35.90238
980,14.518937
981,19.614416
982,31.488165
983,21.891567
984,37.60149
985,13.7143755
986,35.58273
987,22.202843
988,19.061522
989,34.85721
990,29.532421
991,20.333176
992,29.586033
993,25.094507
994,13.228
995,33.492466
996,39.715446
997,33.471565
998,16.807806
999,29.73459
1000,7.4711227
1001,14.483543
1002,29.736246
1003,31.496572
1004,8.441263
1005,27.908194
1006,26.195368
1007,17.158638
1008,18.490208
1009,20.302332
1010,21.767595
1011,26.423107
1012,20.18096
1013,35.878235
1014,30.814924
1015,28.19847
1016,26.011284
1017,27.376144
1018,19.244917
1019,23.37297
1020,21.056805
1021,30.848156
1022,42.029533
1023,25.185436
1024,32.410183
1025,33.208603
1026,19.361776
1027,18.787985
1028,30.478226
1029,36.742657
1030,12.08052
1031,27.919905
1032,11.407418
1033,18.275404
1034,25.503378
1035,34.42265
1036,34.84791
1037,13.3687725
1038,14.529414
1039,14.49443
1040,33.960815
1041,15.865364
1042,37.82511
1043,37.16715
1044,19.356352
1045,34.8273
1046,19.138985
1047,17.730042
1048,33.022556
1049,22.349318
1050,28.342268
1051,32.504807
1052,16.273699
1053,31.114525
1054,34.303844
1055,37.620697
1056,22.565788
1057,27.10349
1058,22.967945
1059,33.104862
1060,38.152645
1061,24.624348
1062,34.77119
1063,30.87506
1064,32.838627
1065,19.480759
1066,32.81001
1067,22.256054
1068,23.432484
1069,26.999619
1070,25.271912
1071,28.532152
1072,36.3066
1073,34.83057
1074,35.03451
1075,36.087643
1076,36.189007
1077,38.65269
